Legacy class name	Default ns class name	New ns class name	Notes
Ac_Decorator_Text_Cut	\Avancore\Decorator\Text\Cut	\Avancore\Decorator\TextCutDecorator	
Ac_Decorator_Text_FixJson	\Avancore\Decorator\Text\FixJson	\Avancore\Decorator\FixJsonDecorator	
Ac_Decorator_Text_Hsc	\Avancore\Decorator\Text\Hsc	\Avancore\Decorator\HtmlEntitiesDecorator	
Ac_Decorator_Text_Linkify	\Avancore\Decorator\Text\Linkify	\Avancore\Decorator\LinkifyDecorator	
Ac_Decorator_Text_MakeLink	\Avancore\Decorator\Text\MakeLink	\Avancore\Decorator\MakeLinkDecorator	
Ac_Decorator_Text_Split	\Avancore\Decorator\Text\Split	\Avancore\Decorator\SplitDecorator	
Ac_Decorator_Text_Substitute	\Avancore\Decorator\Text\Substitute	\Avancore\Decorator\SubstituteDecorator	
Ac_Decorator_Text_UrlFriendly	\Avancore\Decorator\Text\UrlFriendly	\Avancore\Decorator\UrlFriendlyDecorator	
Ac_Decorator_ToArray	\Avancore\Decorator\ToArray	\Avancore\Decorator\ToArrayDecorator	
Ac_Decorator_VarDump	\Avancore\Decorator\VarDump	\Avancore\Decorator\DumpDecorator	
Ac_E_ArraySerialization	\Avancore\E\ArraySerialization	\Avancore\Exception\ArraySerializationException	
Ac_E_Assertion	\Avancore\E\Assertion	\Avancore\Exception\AssertionException	
Ac_E_Cli	\Avancore\E\Cli	\Avancore\Exception\CliException	
Ac_E_ControllerException	\Avancore\E\ControllerException	\Avancore\Exception\ControllerException	
Ac_E_Database	\Avancore\E\Database	\Avancore\Exception\DatabaseException	
Ac_E_Etl	\Avancore\E\Etl		x
Ac_E_InvalidAccess	\Avancore\E\InvalidAccess	\Avancore\Exception\InvalidAccessException	
Ac_E_InvalidCall	\Avancore\E\InvalidCall	\Avancore\Exception\InvalidCallException	
Ac_E_InvalidImplementation	\Avancore\E\InvalidImplementation	\Avancore\Exception\InvalidImplementationException	
Ac_E_InvalidPrototype	\Avancore\E\InvalidPrototype	\Avancore\Exception\InvalidPrototypeException	
Ac_E_InvalidUsage	\Avancore\E\InvalidUsage	\Avancore\Exception\InvalidUsageException	
Ac_E_Template	\Avancore\E\Template	\Avancore\Exception\TemplateException	
Ac_Event	\Avancore\Event	\Avancore\Event\Event	
Ac_Event_Data	\Avancore\Event\Data	\Avancore\Event\EventData	
Ac_Event_TraitWithEvents	\Avancore\Event\TraitWithEvents		
Ac_Facet_Item	\Avancore\Facet\Item		
Ac_Facet_ItemImpl	\Avancore\Facet\ItemImpl		
Ac_Facet_ItemView	\Avancore\Facet\ItemView		
Ac_Facet_Set	\Avancore\Facet\Set		
Ac_Facet_SetImpl	\Avancore\Facet\SetImpl		
Ac_Facet_SetView	\Avancore\Facet\SetView		
Ac_Facet_Sql_I_ItemImpl	\Avancore\Facet\Sql\I\ItemImpl		
Ac_Facet_Sql_ItemImpl	\Avancore\Facet\Sql\ItemImpl		
Ac_Facet_Sql_NoValuesImpl	\Avancore\Facet\Sql\NoValuesImpl		
Ac_Facet_Sql_SetImpl	\Avancore\Facet\Sql\SetImpl		
Ac_Facet_Sql_ValueSetter	\Avancore\Facet\Sql\ValueSetter		
Ac_Facet_Sql_ValueSetter_Ignore	\Avancore\Facet\Sql\ValueSetter\Ignore		
Ac_Facet_Sql_ValueSetter_Part	\Avancore\Facet\Sql\ValueSetter\Part		
Ac_Facet_Sql_ValueSetter_Where	\Avancore\Facet\Sql\ValueSetter\Where		
Ac_Facet_ValueNotSet	\Avancore\Facet\ValueNotSet		
Ac_Facet_View_Item_SelectList	\Avancore\Facet\View\Item\SelectList		
Ac_Facet_View_Item_Text	\Avancore\Facet\View\Item\Text		
Ac_Facet_View_Set_Template	\Avancore\Facet\View\Set\Template		
Ac_File	\Avancore\File		
Ac_File_Feature	\Avancore\File\Feature		
